"Source:","/Users/Thomas/Desktop/Avionics-Hardware/Control Board/Control Board.sch"
"Date:","Tuesday, March 06, 2018 'PMt' 04:43:05 PM"
"Tool:","Eeschema 4.0.7"
"Generator:","/Applications/Kicad/kicad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","77"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey Part Number"
"","","C1","0.1 uF","device:C_Small","Capacitors_SMD:C_0603","","445-5667-1-ND"
"","","C2","0.1 uF","device:C_Small","Capacitors_SMD:C_0603","","445-5667-1-ND"
"","","C3","0.1 uF","device:C_Small","Capacitors_SMD:C_0603","","445-5667-1-ND"
"","","C4","0.1 uF","device:C_Small","Capacitors_SMD:C_0603","","445-5667-1-ND"
"","","C5","0.1 uF","device:C_Small","Capacitors_SMD:C_0603","","445-5667-1-ND"
"","","C6","10 uF","device:C_Small","Capacitors_SMD:C_0603","","490-12323-1-ND"
"","","C7","0.1 uF","device:C_Small","Capacitors_SMD:C_0603","","445-5667-1-ND"
"","","C8","0.1 uF","device:C_Small","Capacitors_SMD:C_0603","","445-5667-1-ND"
"","","C9","0.1 uF","device:C_Small","Capacitors_SMD:C_0603","","445-5667-1-ND"
"","","C10","0.1 uF","device:C_Small","Capacitors_SMD:C_0603","","445-5667-1-ND"
"","","C11","0.01 uF","device:C_Small","Capacitors_SMD:C_0603","","399-1091-1-ND"
"","","C12","0.1 uF","device:C_Small","Capacitors_SMD:C_0603","","445-5667-1-ND"
"","","C13","0.01 uF","device:C_Small","Capacitors_SMD:C_0603","","399-1091-1-ND"
"","","C14","0.1 uF","device:C_Small","Capacitors_SMD:C_0603","","445-5667-1-ND"
"","","C15","0.1 uF","device:C_Small","Capacitors_SMD:C_0603","","445-5667-1-ND"
"","","C16","0.01 uF","device:C_Small","Capacitors_SMD:C_0603","","399-1091-1-ND"
"","","C17","0.1 uF","device:C_Small","Capacitors_SMD:C_0603","","445-5667-1-ND"
"","","C18","0.01 uF","device:C_Small","Capacitors_SMD:C_0603","","399-1091-1-ND"
"","","C19","0.1 uF","device:C_Small","Capacitors_SMD:C_0603","","445-5667-1-ND"
"","","C20","0.1 uF","device:C_Small","Capacitors_SMD:C_0603","","445-5667-1-ND"
"","","C21","0.01 uF","device:C_Small","Capacitors_SMD:C_0603","","399-1091-1-ND"
"","","C22","0.1 uF","device:C_Small","Capacitors_SMD:C_0603","","445-5667-1-ND"
"","","C23","0.01 uF","device:C_Small","Capacitors_SMD:C_0603","","399-1091-1-ND"
"","","C24","0.1 uF","device:C_Small","Capacitors_SMD:C_0603","","445-5667-1-ND"
"","","C25","0.1 uF","device:C_Small","Capacitors_SMD:C_0603","","445-5667-1-ND"
"","","C26","0.01 uF","device:C_Small","Capacitors_SMD:C_0603","","399-1091-1-ND"
"","","C27","0.1 uF","device:C_Small","Capacitors_SMD:C_0603","","445-5667-1-ND"
"","","C28","0.01 uF","device:C_Small","Capacitors_SMD:C_0603","","399-1091-1-ND"
"","","C29","0.1 uF","device:C_Small","Capacitors_SMD:C_0603","","445-5667-1-ND"
"","","C30","0.1 uF","device:C_Small","Capacitors_SMD:C_0603","","445-5667-1-ND"
"","","C31","0.01 uF","device:C_Small","Capacitors_SMD:C_0603","","399-1091-1-ND"
"","","C32","0.1 uF","device:C_Small","Capacitors_SMD:C_0603","","445-5667-1-ND"
"","","C33","0.01 uF","device:C_Small","Capacitors_SMD:C_0603","","399-1091-1-ND"
"","","C34","0.1 uF","device:C_Small","Capacitors_SMD:C_0603","","445-5667-1-ND"
"","","C35","0.1 uF","device:C_Small","Capacitors_SMD:C_0603","","445-5667-1-ND"
"","","D1","LED_R","device:LED","LEDs:LED_0603","","160-1447-1-ND"
"","","D2","LED_R","device:LED","LEDs:LED_0603","","160-1447-1-ND"
"","","D3","LED_G","device:LED","LEDs:LED_0603","","160-1446-1-ND"
"","","D4","LED_B","device:LED","LEDs:LED_0603","","160-1647-1-ND"
"","","J1","Conn_02x03_Odd_Even","conn:Conn_02x03_Odd_Even","Pin_Headers:Pin_Header_Angled_2x03_Pitch1.27mm","","S9015E-03-ND"
"","","J2","Conn_02x25_Counter_Clockwise","conn:Conn_02x25_Counter_Clockwise","Custom Footprints:CONN_CARD_02x25_MALE","",""
"","","L1","27 nH","device:L_Small","Inductors_SMD:L_0603","","490-1174-1-ND"
"","","Q1","STS4DNF60L","Custom Parts:STS4DNF60L","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","","497-3226-1-ND"
"","","R1","1.8 kΩ","device:R_Small","Resistors_SMD:R_0603","","311-1.80KHRCT-ND"
"","","R2","1.8 kΩ","device:R_Small","Resistors_SMD:R_0603","","311-1.80KHRCT-ND"
"","","R3","1 kΩ","device:R_Small","Resistors_SMD:R_0603","","311-1.00KHRCT-ND"
"","","R4","1 kΩ","device:R_Small","Resistors_SMD:R_0603","","311-1.00KHRCT-ND"
"","","R5","10 kΩ","device:R_Small","Resistors_SMD:R_0603","","311-10.0KHRCT-ND"
"","","R6","100 Ω","device:R","Resistors_SMD:R_0603","","311-100GRCT-ND"
"","","R7","100 Ω","device:R","Resistors_SMD:R_0603","","311-100GRCT-ND"
"","","R8","100 Ω","device:R","Resistors_SMD:R_0603","","311-100GRCT-ND"
"","","R9","100 Ω","device:R","Resistors_SMD:R_0603","","311-100GRCT-ND"
"","","R10","20 kΩ","device:R_Small","Resistors_SMD:R_0603","","311-20.0KHRCT-ND"
"","","R11","1 kΩ","device:R_Small","Resistors_SMD:R_0603","","311-1.00KHRCT-ND"
"","","R12","20 kΩ","device:R_Small","Resistors_SMD:R_0603","","311-20.0KHRCT-ND"
"","","R13","20 kΩ","device:R_Small","Resistors_SMD:R_0603","","311-20.0KHRCT-ND"
"","","R14","1 kΩ","device:R_Small","Resistors_SMD:R_0603","","311-1.00KHRCT-ND"
"","","R15","1 kΩ","device:R_Small","Resistors_SMD:R_0603","","311-1.00KHRCT-ND"
"","","R16","4.99 kΩ","device:R_Small","Resistors_SMD:R_0603","","311-4.99KHRCT-ND"
"","","R17","1 kΩ","device:R_Small","Resistors_SMD:R_0603","","311-1.00KHRCT-ND"
"","","R18","20 kΩ","device:R_Small","Resistors_SMD:R_0603","","311-20.0KHRCT-ND"
"","","R19","1 kΩ","device:R_Small","Resistors_SMD:R_0603","","311-1.00KHRCT-ND"
"","","R20","20 kΩ","device:R_Small","Resistors_SMD:R_0603","","311-20.0KHRCT-ND"
"","","R21","1 kΩ","device:R_Small","Resistors_SMD:R_0603","","311-1.00KHRCT-ND"
"","","R22","100 Ω","device:R","Resistors_SMD:R_0603","","311-100HRCT-ND"
"","","RN1","1 kΩ, 5 kΩ","device:Voltage_Divider_CenterPin3","TO_SOT_Packages_SMD:SOT-23","","MPMT-1K/5KCT-ND"
"","","RN2","1 kΩ, 5 kΩ","device:Voltage_Divider_CenterPin3","TO_SOT_Packages_SMD:SOT-23","","MPMT-1K/5KCT-ND"
"","","SW1","SW_SPDT","switches:SW_SPDT","Buttons_Switches_SMD:SW_SPDT_CK-JS102011SAQN","","401-1999-1-ND"
"","","U1","ATXMEGA128A3-AU","atmel:ATXMEGA128A3-AU","Housings_QFP:TQFP-64_14x14mm_Pitch0.8mm","","ATXMEGA128A3-AU-ND"
"","","U2","LT1797","Custom Parts:LT1797","TO_SOT_Packages_SMD:TSOT-23-5","","LT1797CS5#TRMPBFCT-ND"
"","","U3","LT1797","Custom Parts:LT1797","TO_SOT_Packages_SMD:TSOT-23-5","","LT1797CS5#TRMPBFCT-ND"
"","","U4","ISL83490","Custom Parts:ISL83490","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","","ISL83490IBZ-ND"
"","","U5","MAX31856","Custom Parts:MAX31856","Housings_SSOP:TSSOP-14_4.4x5mm_Pitch0.65mm","","MAX31856MUD+-ND"
"","","U6","MAX31856","Custom Parts:MAX31856","Housings_SSOP:TSSOP-14_4.4x5mm_Pitch0.65mm","","MAX31856MUD+-ND"
"","","U7","MAX31856","Custom Parts:MAX31856","Housings_SSOP:TSSOP-14_4.4x5mm_Pitch0.65mm","","MAX31856MUD+-ND"
"","","U8","MAX31856","Custom Parts:MAX31856","Housings_SSOP:TSSOP-14_4.4x5mm_Pitch0.65mm","","MAX31856MUD+-ND"
"","","U9","MAX31856","Custom Parts:MAX31856","Housings_SSOP:TSSOP-14_4.4x5mm_Pitch0.65mm","","MAX31856MUD+-ND"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey Part Number"
"1","24","C1, C2, C3, C4, C5, C7, C8, C9, C10, C12, C14, C15, C17, C19, C20, C22, C24, C25, C27, C29, C30, C32, C34, C35","0.1 uF","device:C_Small","Capacitors_SMD:C_0603","","445-5667-1-ND"
"2","1","C6","10 uF","device:C_Small","Capacitors_SMD:C_0603","","490-12323-1-ND"
"3","10","C11, C13, C16, C18, C21, C23, C26, C28, C31, C33","0.01 uF","device:C_Small","Capacitors_SMD:C_0603","","399-1091-1-ND"
"4","2","D1, D2","LED_R","device:LED","LEDs:LED_0603","","160-1447-1-ND"
"5","1","D3","LED_G","device:LED","LEDs:LED_0603","","160-1446-1-ND"
"6","1","D4","LED_B","device:LED","LEDs:LED_0603","","160-1647-1-ND"
"7","1","J1","Conn_02x03_Odd_Even","conn:Conn_02x03_Odd_Even","Pin_Headers:Pin_Header_Angled_2x03_Pitch1.27mm","","S9015E-03-ND"
"8","1","J2","Conn_02x25_Counter_Clockwise","conn:Conn_02x25_Counter_Clockwise","Custom Footprints:CONN_CARD_02x25_MALE","",""
"9","1","L1","27 nH","device:L_Small","Inductors_SMD:L_0603","","490-1174-1-ND"
"10","1","Q1","STS4DNF60L","Custom Parts:STS4DNF60L","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","","497-3226-1-ND"
"11","2","R1, R2","1.8 kΩ","device:R_Small","Resistors_SMD:R_0603","","311-1.80KHRCT-ND"
"12","8","R3, R4, R11, R14, R15, R17, R19, R21","1 kΩ","device:R_Small","Resistors_SMD:R_0603","","311-1.00KHRCT-ND"
"13","1","R5","10 kΩ","device:R_Small","Resistors_SMD:R_0603","","311-10.0KHRCT-ND"
"14","5","R6, R7, R8, R9, R22","100 Ω","device:R","Resistors_SMD:R_0603","","311-100GRCT-ND"
"15","5","R10, R12, R13, R18, R20","20 kΩ","device:R_Small","Resistors_SMD:R_0603","","311-20.0KHRCT-ND"
"16","1","R16","4.99 kΩ","device:R_Small","Resistors_SMD:R_0603","","311-4.99KHRCT-ND"
"17","2","RN1, RN2","1 kΩ, 5 kΩ","device:Voltage_Divider_CenterPin3","TO_SOT_Packages_SMD:SOT-23","","MPMT-1K/5KCT-ND"
"18","1","SW1","SW_SPDT","switches:SW_SPDT","Buttons_Switches_SMD:SW_SPDT_CK-JS102011SAQN","","401-1999-1-ND"
"19","1","U1","ATXMEGA128A3-AU","atmel:ATXMEGA128A3-AU","Housings_QFP:TQFP-64_14x14mm_Pitch0.8mm","","ATXMEGA128A3-AU-ND"
"20","2","U2, U3","LT1797","Custom Parts:LT1797","TO_SOT_Packages_SMD:TSOT-23-5","","LT1797CS5#TRMPBFCT-ND"
"21","1","U4","ISL83490","Custom Parts:ISL83490","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","","ISL83490IBZ-ND"
"22","5","U5, U6, U7, U8, U9","MAX31856","Custom Parts:MAX31856","Housings_SSOP:TSSOP-14_4.4x5mm_Pitch0.65mm","","MAX31856MUD+-ND"
