"Source:","/Users/Thomas/Desktop/Avionics-Hardware/Middle Board/Middle Board.sch"
"Date:","Tuesday, March 06, 2018 'PMt' 04:42:39 PM"
"Tool:","Eeschema 4.0.7"
"Generator:","/Applications/Kicad/kicad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","61"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey Part Number"
"","","BT1","CR_1220","device:Battery_Cell","Battery_Holders:Keystone_3000_1x12mm-CoinCell","","36-3000-ND"
"","","C1","100 nF","device:C_Small","Capacitors_SMD:C_0603","","490-1532-1-ND"
"","","C2","100 nF","device:C_Small","Capacitors_SMD:C_0603","","490-1532-1-ND"
"","","C3","2.2 uF","device:C_Small","Capacitors_SMD:C_0603","","1276-1134-1-ND"
"","","C4","100 nF","device:C_Small","Capacitors_SMD:C_0603","","490-1532-1-ND"
"","","C5","100 nF","device:C_Small","Capacitors_SMD:C_0603","","490-1532-1-ND"
"","","C6","100 nF","device:C_Small","Capacitors_SMD:C_0603","","490-1532-1-ND"
"","","C7","100 nF","device:C_Small","Capacitors_SMD:C_0603","","490-1532-1-ND"
"","","C8","100 nF","device:C_Small","Capacitors_SMD:C_0603","","490-1532-1-ND"
"","","C9","100 nF","device:C_Small","Capacitors_SMD:C_0603","","490-1532-1-ND"
"","","C10","100 nF","device:C_Small","Capacitors_SMD:C_0603","","490-1532-1-ND"
"","","C11","4.7 uF","device:C_Small","Capacitors_SMD:C_0805","","587-2990-6-ND"
"","","C12","100 nF","device:C_Small","Capacitors_SMD:C_0603","","490-1532-1-ND"
"","","C13","100 nF","device:C_Small","Capacitors_SMD:C_0603","","490-1532-1-ND"
"","","C14","100 pF","device:C_Small","Capacitors_SMD:C_0603","","1276-1909-6-ND"
"","","C15","1 uF","device:C_Small","Capacitors_SMD:C_0603","","1276-6524-1-ND"
"","","D1","LED_R","device:LED","LEDs:LED_0603_HandSoldering","","160-1436-1-ND"
"","","D2","LED_R","device:LED","LEDs:LED_0603_HandSoldering","","160-1436-1-ND"
"","","D3","LED_G","device:LED","LEDs:LED_0603_HandSoldering","","160-1435-1-ND"
"","","D4","LED_B","device:LED","LEDs:LED_0603_HandSoldering","","160-1647-1-ND"
"","","D5","LED_R","device:LED","LEDs:LED_0603_HandSoldering","","160-1436-1-ND"
"","","D6","LED_B","device:LED","LEDs:LED_0603_HandSoldering","","160-1647-1-ND"
"","","D7","LED_G","device:LED","LEDs:LED_0603_HandSoldering","","160-1435-1-ND"
"","","FL1","B39162B3520U410","Custom Parts:B39162B3520U410","Custom Footprints:B39162B3520U410","","495-2363-6-ND"
"","","J1","JTAG Connector","conn:Conn_02x05_Odd_Even","Custom Footprints:10_pin_Cortex-M_connector","","SAM8799-ND"
"","","J2","Conn_Coaxial","conn:Conn_Coaxial","Custom Footprints:SMA_SMD_RIGHT_ANGLE","","931-1175-ND"
"","","J3","Conn_Coaxial","conn:Conn_Coaxial","Custom Footprints:SMA_SMD_RIGHT_ANGLE","","931-1175-ND"
"","","J4","Conn_Coaxial","conn:Conn_Coaxial","Custom Footprints:SMA_SMD_RIGHT_ANGLE","","931-1175-ND"
"","","J5","Conn_Coaxial","conn:Conn_Coaxial","Custom Footprints:SMA_SMD_RIGHT_ANGLE","","931-1175-ND"
"","","J6","Conn_02x10_Counter_Clockwise","conn:Conn_02x10_Counter_Clockwise","Custom Footprints:CONN_CARD_02x10_MALE","","S3299-ND"
"","","R1","60","device:R","Resistors_SMD:R_0603","","311-56GRCT-ND"
"","","R2","60","device:R","Resistors_SMD:R_0603","","311-56GRCT-ND"
"","","R3","60","device:R","Resistors_SMD:R_0603","","311-56GRCT-ND"
"","","R4","60","device:R","Resistors_SMD:R_0603","","311-56GRCT-ND"
"","","R5","20","device:R","Resistors_SMD:R_0603","","311-20.0HRCT-ND"
"","","R6","20","device:R","Resistors_SMD:R_0603","","311-20.0HRCT-ND"
"","","R7","10k","device:R","Resistors_SMD:R_0603","","311-10.0KHRCT-ND"
"","","R8","10k","device:R","Resistors_SMD:R_0603","","311-10.0KHRCT-ND"
"","","R9","100k","device:R","Resistors_SMD:R_0603","","311-100KHRCT-ND"
"","","R10","39","device:R","Resistors_SMD:R_0603","","311-39.0HRCT-ND"
"","","R11","39","device:R","Resistors_SMD:R_0603","","311-39.0HRCT-ND"
"","","R12","100k","device:R","Resistors_SMD:R_0603","","311-100KHRCT-ND"
"","","R13","100k","device:R","Resistors_SMD:R_0603","","311-100KHRCT-ND"
"","","R14","100k","device:R","Resistors_SMD:R_0603","","311-100KHRCT-ND"
"","","R15","100","device:R","Resistors_SMD:R_0603","","P100DBDKR-ND"
"","","R16","20","device:R","Resistors_SMD:R_0603","","311-20.0HRCT-ND"
"","","R17","20","device:R","Resistors_SMD:R_0603","","311-20.0HRCT-ND"
"","","R18","60","device:R","Resistors_SMD:R_0603","","311-56GRCT-ND"
"","","R19","60","device:R","Resistors_SMD:R_0603","","311-56GRCT-ND"
"","","R20","60","device:R","Resistors_SMD:R_0603","","311-56GRCT-ND"
"","","R21","100","device:R","Resistors_SMD:R_0603","","P100DBDKR-ND"
"","","R22","20","device:R","Resistors_SMD:R_0603","","311-20.0HRCT-ND"
"","","R23","20","device:R","Resistors_SMD:R_0603","","311-20.0HRCT-ND"
"","","SW1","SW_SPST","switches:SW_SPST","Custom Footprints:SW_SPST_SMD","","CKN9112CT-ND"
"","","U1","ATSAMG55","Custom Parts:ATSAMG55","Housings_QFP:LQFP-64_10x10mm_Pitch0.5mm","","ATSAMG55J19B-AUTCT-ND"
"","","U2","BNO055_Breakout","Custom Parts:BNO055_Breakout","Custom Footprints:BNO055_Breakout","","1528-1426-ND"
"","","U3","MS5803","Custom Parts:MS5803","Custom Footprints:MS5803","","223-1623-5-ND"
"","","U4","PD0810J5050S2HF","Custom Parts:PD0810J5050S2HF","Custom Footprints:SMD_PD_ANAREN","","1173-1093-1-ND"
"","","U5","XBee_PRO_SX","Custom Parts:XBee_PRO_SX","Custom Footprints:XBEE_PRO_SX","","602-1889-ND"
"","","U6","PD0922J5050S2HF","Custom Parts:PD0922J5050S2HF","Custom Footprints:SMD_PD_ANAREN","","1173-1094-1-ND"
"","","U7","UBX_NEO_M8Q","Custom Parts:UBX_NEO_M8Q","Custom Footprints:UBX_NEO_M8Q","","672-1009-1-ND"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey Part Number"
"1","1","BT1","CR_1220","device:Battery_Cell","Battery_Holders:Keystone_3000_1x12mm-CoinCell","","36-3000-ND"
