"Source:","/Users/Thomas/Desktop/Avionics-Hardware/Power Board/Power Board.sch"
"Date:","Friday, November 16, 2018 at 03:23:12 PM"
"Tool:","Eeschema (5.0.0-3-g5ebb6b6)"
"Generator:","/Applications/Kicad/kicad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","132"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","AliExpress Part Link","Digikey Part Number","Field4"
"","","C1","470 µF","Power-Board-rescue:CP1_Small-Device","Custom Footprints:CP_Radial_Horiz_D8.0mm_L13.00mm_P3.50mm","","","1189-1733-ND",""
"","","C2","0.1 µF","Power-Board-rescue:C_Small-Device","Capacitors_SMD:C_0603","","","1276-6717-6-ND",""
"","","C3","0.1 µF","Power-Board-rescue:C_Small-Device","Capacitors_SMD:C_0603","","","1276-6717-6-ND",""
"","","C4","0.1 µF","Power-Board-rescue:C_Small-Device","Capacitors_SMD:C_0603","","","1276-6717-6-ND",""
"","","C5","0.1 µF","Power-Board-rescue:C_Small-Device","Capacitors_SMD:C_0603","","","1276-6717-6-ND",""
"","","C6","0.1 µF","Power-Board-rescue:C_Small-Device","Capacitors_SMD:C_0603","","","1276-6717-6-ND",""
"","","C7","0.1 µF","Power-Board-rescue:C_Small-Device","Capacitors_SMD:C_0603","","","1276-6717-6-ND",""
"","","C8","0.1 µF","Power-Board-rescue:C_Small-Device","Capacitors_SMD:C_0805","","","478-3351-1-ND",""
"","","C9","22 µF","Power-Board-rescue:C_Small-Device","Capacitors_SMD:C_0805","","","1276-6780-1-ND",""
"","","C10","4.7 µF","Power-Board-rescue:C_Small-Device","Capacitors_SMD:C_0603","","","1276-1900-1-ND",""
"","","C11","47 µF","Power-Board-rescue:C_Small-Device","Capacitors_SMD:C_0805","","","490-13249-1-ND",""
"","","C12","4.7 µF","Power-Board-rescue:C_Small-Device","Capacitors_SMD:C_0603","","","1276-1900-1-ND",""
"","","C13","22nF","Power-Board-rescue:C_Small-Device","Capacitors_SMD:C_0603","","","399-9044-1-ND",""
"","","C14","22nF","Power-Board-rescue:C_Small-Device","Capacitors_SMD:C_0603","","","399-9044-1-ND",""
"","","C15","15 µF","Power-Board-rescue:C_Small-Device","Capacitors_SMD:C_0805","","","445-14373-1-ND",""
"","","C16","22 µF","Power-Board-rescue:C_Small-Device","Capacitors_SMD:C_0805","","","1276-6780-1-ND",""
"","","C17","1 µF","Power-Board-rescue:C_Small-Device","Capacitors_SMD:C_0603","","","1276-6524-1-ND",""
"","","C18","4.7 µF","Power-Board-rescue:C_Small-Device","Capacitors_SMD:C_0603","","","1276-1900-1-ND",""
"","","C19","0.1 µF","Power-Board-rescue:C_Small-Device","Capacitors_SMD:C_0603","","","1276-6717-6-ND",""
"","","C20","0.1 µF","Power-Board-rescue:C_Small-Device","Capacitors_SMD:C_0603","","","1276-6717-6-ND",""
"","","C21","0.1 µF","Power-Board-rescue:C_Small-Device","Capacitors_SMD:C_0603","","","1276-6717-6-ND",""
"","","C22","0.1 µF","Power-Board-rescue:C_Small-Device","Capacitors_SMD:C_0603","","","1276-6717-6-ND",""
"","","C23","0.33 µF","Power-Board-rescue:C_Small-Device","Capacitors_SMD:C_0603","","","445-12479-6-ND",""
"","","C24","10 µF","Power-Board-rescue:C_Small-Device","Capacitors_SMD:C_0603","","","1276-1038-1-ND",""
"","","C25","10 µF","Power-Board-rescue:C_Small-Device","Capacitors_SMD:C_0603","","","1276-1038-1-ND",""
"","","C26","0.1 µF","Power-Board-rescue:C_Small-Device","Capacitors_SMD:C_0603","","","1276-6717-6-ND",""
"","","C27","0.1 µF","Power-Board-rescue:C_Small-Device","Capacitors_SMD:C_0603","","","1276-6717-6-ND",""
